Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Age_group
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,139.0,1,Higher Education,Basic Education,Technicians,Service/Sales,120.8,0,0,0,1,Female,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,15.5,2.8,-4.06,Dropout,17-19
Single,General,1,Business/Economy,1,Secondary Education,136.0,1,Other,Higher Education,Technicians,Technicians,128.7,1,0,0,1,Female,0,20,0,0,6,8,6,11.666666666666666,0,0,6,10,6,11.0,0,13.9,-0.3,0.79,Dropout,20-22
Single,Transfer/Change,1,Social Sciences,1,Secondary Education,133.1,1,Other,Other,Other,Other,118.0,0,0,0,1,Female,0,47,0,0,6,12,0,0.0,0,0,5,10,0,0.0,0,7.6,2.6,0.32,Dropout,30+
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,120.0,6,Secondary,Higher Education,Elementary,Professionals,120.0,0,0,1,1,Female,0,21,1,2,5,9,5,13.2,2,0,5,7,2,12.5,2,10.8,1.4,1.74,Enrolled,20-22
Married/Union,Transfer/Change,1,Engineering/Tech,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Agriculture/Fishery,160.0,0,0,0,1,Male,0,31,0,1,6,11,2,12.0,1,1,6,12,1,10.0,1,16.2,0.3,-0.92,Dropout,30+
Married/Union,Transfer/Change,1,Engineering/Tech,1,Secondary Education,110.0,1,No Schooling/Primary,No Schooling/Primary,Unknown,Service/Sales,150.0,1,0,0,1,Male,0,46,0,0,5,6,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,30+
Single,General,3,Engineering/Tech,1,Secondary Education,133.0,1,Higher Education,Secondary,Technicians,Clerical,121.8,1,0,0,1,Male,0,18,0,0,5,9,4,12.0,0,0,5,10,2,11.0,0,8.9,1.4,3.51,Enrolled,17-19
Single,General,3,Engineering/Tech,1,Secondary Education,138.0,1,Higher Education,Higher Education,Technicians,Clerical,125.4,1,1,0,1,Male,0,19,0,0,5,10,3,13.333333333333334,0,0,5,9,4,10.75,0,8.9,1.4,3.51,Dropout,17-19
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,131.0,1,Secondary,No Schooling/Primary,Service/Sales,Elementary,126.6,1,0,0,1,Male,0,23,0,0,7,11,5,12.414285714285713,0,0,7,13,2,13.5,0,8.9,1.4,3.51,Enrolled,23-25
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,150.0,1,Higher Education,Secondary,Professionals,Plant/Machine,150.0,0,0,0,0,Male,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,20-22
Single,General,1,Business/Economy,1,Secondary Education,125.0,1,No Schooling/Primary,Secondary,Technicians,Other,114.5,1,0,0,1,Male,0,19,0,0,5,5,5,13.8,0,0,5,7,5,12.4,0,9.4,-0.8,-3.12,Graduate,17-19
Single,General,1,Business/Economy,1,Secondary Education,108.0,41,Higher Education,Higher Education,Elementary,Elementary,107.0,0,0,1,0,Female,0,19,1,0,5,14,0,0.0,0,0,5,5,0,0.0,0,8.9,1.4,3.51,Dropout,17-19
Single,General,1,Business/Economy,1,Secondary Education,116.0,1,Higher Education,Secondary,Technicians,Clerical,115.7,0,0,0,0,Male,0,22,0,0,5,10,4,11.5,0,0,5,11,4,14.0,0,8.9,1.4,3.51,Enrolled,20-22
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,133.1,1,Higher Education,Other,Technicians,Other,120.0,0,0,1,0,Male,0,29,0,0,5,11,0,0.0,4,0,5,6,0,0.0,1,9.4,-0.8,-3.12,Dropout,26-29
Single,General,3,Health/Medicine,1,Secondary Education,147.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Service/Sales,134.8,1,0,0,1,Female,0,18,0,0,7,7,6,14.016666666666666,0,0,7,7,6,14.016666666666666,0,7.6,2.6,0.32,Graduate,17-19
Single,General,1,Social Sciences,1,Secondary Education,143.0,1,No Schooling/Primary,Other,Elementary,Elementary,133.6,1,0,0,1,Female,0,18,0,0,6,9,5,11.4,0,0,6,8,5,10.8,0,9.4,-0.8,-3.12,Graduate,17-19
Single,General,1,Arts/Communication,1,Secondary Education,115.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Plant/Machine,129.0,1,0,1,0,Female,1,23,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,23-25
Married/Union,Transfer/Change,1,Business/Economy,0,Secondary Education,160.0,1,Secondary,Secondary,Elementary,Technicians,128.4,0,0,0,1,Female,0,34,0,0,5,12,5,10.4,0,0,5,11,5,12.0,0,12.4,0.5,1.79,Graduate,30+
Single,General,1,Business/Economy,1,Secondary Education,118.0,1,Basic Education,Basic Education,Elementary,Elementary,122.2,0,0,0,1,Female,0,19,0,0,5,11,3,10.666666666666666,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate,17-19
Single,General,1,Engineering/Tech,1,Secondary Education,122.0,1,Secondary,Secondary,Professionals,Service/Sales,113.3,1,0,0,1,Female,0,18,0,0,5,9,4,14.25,0,0,5,8,5,12.714285714285714,0,10.8,1.4,1.74,Enrolled,17-19
Single,General,6,Health/Medicine,1,Secondary Education,143.0,1,Secondary,Basic Education,Clerical,Clerical,129.9,0,0,0,1,Female,1,20,0,3,7,7,7,13.914285714285713,0,5,8,8,8,14.10625,0,11.1,0.6,2.02,Graduate,20-22
Single,General,6,Health/Medicine,1,Secondary Education,133.0,1,Higher Education,Higher Education,Managers,Managers,126.2,1,0,0,1,Female,0,19,0,0,7,9,7,13.761111111111113,0,0,8,11,7,12.82375,0,15.5,2.8,-4.06,Graduate,17-19
Single,Special/Island/Ordinance,2,Education,1,Secondary Education,122.0,1,Basic Education,Basic Education,Clerical,Service/Sales,112.6,1,0,0,1,Female,0,22,0,0,6,10,5,12.6,0,0,6,9,4,11.25,0,12.7,3.7,-1.7,Enrolled,20-22
Single,General,1,Social Sciences,1,Secondary Education,164.0,1,Basic Education,Basic Education,Elementary,Elementary,149.0,1,0,0,1,Female,1,23,0,0,6,7,6,13.857142857142858,0,0,6,6,6,14.166666666666666,0,10.8,1.4,1.74,Graduate,23-25
Married/Union,Transfer/Change,1,Health/Medicine,1,Secondary Education,133.1,1,Secondary,Basic Education,Elementary,Elementary,120.0,0,0,0,1,Male,1,34,0,0,8,8,7,13.842857142857143,0,0,8,8,7,13.842857142857143,0,12.7,3.7,-1.7,Graduate,30+
Single,General,4,Engineering/Tech,1,Secondary Education,127.0,1,Basic Education,Basic Education,Service/Sales,Service/Sales,120.4,1,0,1,0,Male,0,18,0,0,5,12,0,0.0,0,0,5,8,0,0.0,0,9.4,-0.8,-3.12,Enrolled,17-19
Single,General,3,Arts/Communication,1,Secondary Education,140.0,1,Secondary,Other,Clerical,Managers,128.1,1,1,0,1,Male,0,21,0,0,6,6,5,11.8,0,0,6,9,0,0.0,0,16.2,0.3,-0.92,Dropout,20-22
Single,General,1,Social Sciences,1,Secondary Education,127.0,1,Secondary,Basic Education,Clerical,Technicians,141.7,1,0,0,1,Male,0,22,0,0,6,6,6,12.666666666666666,0,0,6,6,6,13.833333333333334,0,10.8,1.4,1.74,Dropout,20-22
Single,Transfer/Change,1,Agriculture,1,Basic Education,133.1,1,No Schooling/Primary,Secondary,Elementary,Other,130.0,0,0,0,1,Male,0,28,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout,26-29
Single,Special/Island/Ordinance,4,Engineering/Tech,1,Secondary Education,115.0,1,Basic Education,No Schooling/Primary,Clerical,Agriculture/Fishery,113.3,1,0,0,1,Male,0,23,0,0,5,7,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,23-25
Single,General,1,Arts/Communication,1,Secondary Education,108.0,1,Other,No Schooling/Primary,Other,Technicians,105.9,0,0,0,1,Male,0,20,0,0,6,11,4,10.75,0,0,6,13,2,10.0,0,7.6,2.6,0.32,Dropout,20-22
Single,General,2,Engineering/Tech,1,Secondary Education,136.0,1,Secondary,Higher Education,Service/Sales,Clerical,122.7,1,0,0,1,Male,0,18,0,0,5,7,5,12.6,0,0,5,9,3,13.25,0,13.9,-0.3,0.79,Dropout,17-19
Single,Transfer/Change,2,Business/Economy,1,Basic Education,133.1,1,Basic Education,No Schooling/Primary,Elementary,Elementary,120.0,1,0,1,0,Male,0,28,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,9.4,-0.8,-3.12,Dropout,26-29
Single,Transfer/Change,1,Arts/Communication,1,Higher Education,120.0,1,Secondary,Basic Education,Service/Sales,Plant/Machine,119.8,0,0,0,1,Male,0,21,0,2,7,7,2,12.0,0,5,9,10,7,12.142857142857142,0,12.4,0.5,1.79,Dropout,20-22
Single,Transfer/Change,1,Business/Economy,1,Secondary Education,133.1,1,No Schooling/Primary,Basic Education,Elementary,Plant/Machine,122.9,0,0,1,0,Male,0,25,0,0,6,7,3,14.0,0,0,6,9,2,14.5,0,13.9,-0.3,0.79,Dropout,23-25
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,160.0,1,Secondary,Secondary,Service/Sales,Clerical,160.0,1,1,0,0,Male,0,19,0,2,6,6,6,14.0,0,1,6,11,6,13.5,0,12.4,0.5,1.79,Dropout,17-19
Single,General,4,Health/Medicine,1,Secondary Education,128.0,1,Secondary,Secondary,Clerical,Other,125.2,1,0,0,1,Male,1,18,0,0,7,7,7,14.682857142857143,0,0,8,9,8,15.055555555555555,0,12.4,0.5,1.79,Graduate,17-19
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,130.0,1,Secondary,No Schooling/Primary,Unknown,Unknown,143.4,0,0,0,1,Male,0,29,0,0,3,3,0,0.0,3,0,5,0,0,0.0,0,10.8,1.4,1.74,Dropout,26-29
Single,Transfer/Change,1,Engineering/Tech,1,Basic Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Technicians,Craft/Trade,96.7,0,0,0,1,Male,1,29,0,0,5,6,0,0.0,0,0,5,7,0,0.0,0,12.4,0.5,1.79,Dropout,26-29
Single,General,1,Business/Economy,1,Secondary Education,137.0,1,Basic Education,Basic Education,Clerical,Service/Sales,126.9,0,0,0,1,Male,0,20,0,0,6,7,6,13.857142857142858,0,0,6,7,5,12.8,0,16.2,0.3,-0.92,Graduate,20-22
Single,General,1,Arts/Communication,1,Secondary Education,163.0,1,Basic Education,Secondary,Elementary,Craft/Trade,143.1,0,0,0,1,Male,0,18,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,17-19
Single,General,1,Business/Economy,1,Secondary Education,125.0,1,Secondary,Secondary,Elementary,Elementary,114.5,0,0,0,1,Male,0,20,0,0,6,8,6,13.142857142857142,0,0,6,7,6,12.5,0,8.9,1.4,3.51,Graduate,20-22
Married/Union,Transfer/Change,1,Engineering/Tech,1,Secondary Education,120.0,1,Other,Other,Other,Other,140.0,1,0,0,1,Male,0,33,0,0,5,14,1,18.0,0,0,5,9,2,13.0,0,9.4,-0.8,-3.12,Dropout,30+
Single,Transfer/Change,1,Business/Economy,0,Secondary Education,150.0,1,Basic Education,Basic Education,Service/Sales,Service/Sales,113.7,0,0,0,1,Male,0,30,0,11,15,15,13,11.461538461538462,0,6,11,15,10,11.583333333333334,1,16.2,0.3,-0.92,Graduate,30+
Single,General,1,Health/Medicine,1,Secondary Education,135.0,1,Secondary,Secondary,Managers,Managers,131.5,0,0,0,1,Male,1,21,0,0,7,14,5,11.2,0,0,8,11,6,11.583333333333334,0,16.2,0.3,-0.92,Enrolled,20-22
Single,General,1,Agriculture,1,Secondary Education,148.0,1,Secondary,Basic Education,Elementary,Elementary,143.5,0,0,1,1,Male,0,18,0,0,6,6,5,15.0,0,0,6,8,4,14.5,0,8.9,1.4,3.51,Graduate,17-19
Single,General,1,Health/Medicine,1,Secondary Education,138.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,126.8,0,0,0,1,Male,1,19,0,0,7,9,7,14.244444444444444,0,0,8,12,8,12.233333333333333,0,15.5,2.8,-4.06,Graduate,17-19
Single,General,1,Arts/Communication,1,Secondary Education,119.0,1,No Schooling/Primary,Basic Education,Elementary,Elementary,115.2,0,0,0,1,Male,1,21,0,0,6,8,4,11.5,0,0,6,7,5,11.0,0,15.5,2.8,-4.06,Dropout,20-22
Single,Transfer/Change,2,Health/Medicine,1,Secondary Education,130.0,1,Basic Education,Basic Education,Clerical,Service/Sales,100.0,0,0,0,1,Male,1,25,0,0,7,7,2,10.0,0,0,7,7,0,0.0,0,15.5,2.8,-4.06,Dropout,23-25
Single,General,2,Business/Economy,1,Secondary Education,135.0,1,Basic Education,Basic Education,Craft/Trade,Other,121.4,0,0,0,1,Male,0,19,0,0,5,7,3,12.333333333333334,0,0,5,5,5,11.6,0,9.4,-0.8,-3.12,Graduate,17-19
Single,Transfer/Change,1,Arts/Communication,1,Higher Education,120.0,1,Basic Education,Secondary,Elementary,Technicians,120.0,1,0,0,1,Male,0,23,0,2,7,8,5,12.2,0,5,9,10,7,12.142857142857142,1,16.2,0.3,-0.92,Dropout,23-25
Single,General,2,Arts/Communication,1,Secondary Education,126.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Plant/Machine,129.9,1,0,0,1,Male,1,19,0,0,6,6,6,13.666666666666666,0,0,6,7,5,13.2,0,12.4,0.5,1.79,Graduate,17-19
Single,General,1,Arts/Communication,1,Secondary Education,149.0,1,Higher Education,Higher Education,Professionals,Service/Sales,151.1,1,0,0,1,Male,0,19,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate,17-19
Single,Transfer/Change,1,Agriculture,1,Secondary Education,110.0,1,Basic Education,No Schooling/Primary,Elementary,Agriculture/Fishery,120.0,0,0,1,0,Male,0,31,0,0,6,15,1,11.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,Dropout,30+
Single,Transfer/Change,1,Agriculture,1,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Clerical,Craft/Trade,130.0,0,0,1,0,Male,0,32,0,0,6,8,3,13.0,0,4,10,14,6,11.428571428571429,0,16.2,0.3,-0.92,Dropout,30+
Single,Special/Island/Ordinance,2,Health/Medicine,1,Secondary Education,127.0,1,Higher Education,No Schooling/Primary,Clerical,Elementary,119.0,1,0,0,1,Female,1,19,0,0,8,12,7,12.599999999999998,0,0,8,12,7,12.599999999999998,0,10.8,1.4,1.74,Graduate,17-19
Single,Transfer/Change,1,Arts/Communication,1,Higher Education,120.0,1,Other,Other,Other,Other,122.0,1,0,0,1,Female,0,34,0,8,10,11,10,12.2,0,5,10,12,9,12.333333333333334,0,7.6,2.6,0.32,Graduate,30+
Single,Special/Island/Ordinance,6,Arts/Communication,1,Secondary Education,136.0,1,No Schooling/Primary,Secondary,Other,Other,129.7,1,0,0,1,Female,0,21,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Graduate,20-22
Single,Transfer/Change,2,Social Sciences,1,Secondary Education,110.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Craft/Trade,112.5,1,0,0,1,Female,1,53,0,4,7,16,6,11.0,0,2,7,9,7,11.0,0,9.4,-0.8,-3.12,Graduate,30+
Single,General,1,Health/Medicine,1,Secondary Education,136.0,1,Basic Education,Basic Education,Clerical,Craft/Trade,136.0,0,0,0,1,Female,1,19,0,0,7,7,7,14.014285714285714,0,0,8,8,8,15.35,0,13.9,-0.3,0.79,Graduate,17-19
Single,General,3,Arts/Communication,1,Secondary Education,145.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Service/Sales,133.1,0,0,0,1,Female,1,20,0,0,6,9,4,13.0,0,0,6,13,4,11.25,0,10.8,1.4,1.74,Graduate,20-22
Single,General,2,Arts/Communication,1,Secondary Education,159.0,1,Secondary,Basic Education,Elementary,Elementary,151.3,1,0,0,1,Female,0,18,0,0,6,6,6,14.0,0,0,6,6,6,14.666666666666666,0,10.8,1.4,1.74,Graduate,17-19
Single,Transfer/Change,1,Arts/Communication,1,Secondary Education,147.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Elementary,133.3,0,0,0,0,Female,0,32,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,16.2,0.3,-0.92,Dropout,30+
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,150.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,130.8,1,0,0,1,Female,1,21,0,0,8,8,7,14.428571428571429,0,0,8,8,7,14.428571428571429,0,12.7,3.7,-1.7,Graduate,20-22
Single,Other,1,Social Sciences,0,Higher Education,140.0,1,No Schooling/Primary,Other,Elementary,Clerical,140.0,0,0,0,0,Female,0,26,0,0,5,9,0,0.0,0,0,5,10,0,0.0,0,9.4,-0.8,-3.12,Dropout,26-29
Single,Transfer/Change,1,Engineering/Tech,1,Higher Education,150.0,1,Secondary,Secondary,Clerical,Craft/Trade,150.0,1,0,0,1,Female,0,26,0,11,18,45,18,11.833333333333334,10,9,13,27,13,12.461538461538462,5,15.5,2.8,-4.06,Graduate,26-29
Married/Union,Transfer/Change,1,Business/Economy,0,Higher Education,130.0,1,Secondary,No Schooling/Primary,Clerical,Elementary,130.0,0,0,0,0,Female,0,21,0,0,5,12,3,11.333333333333334,0,0,5,10,1,13.0,0,15.5,2.8,-4.06,Dropout,20-22
Single,General,1,Arts/Communication,1,Secondary Education,120.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Service/Sales,125.3,0,0,0,1,Female,0,18,0,0,6,9,6,12.5,0,0,6,9,6,13.0,0,7.6,2.6,0.32,Graduate,17-19
Single,Transfer/Change,1,Arts/Communication,1,Higher Education,130.0,1,Basic Education,No Schooling/Primary,Service/Sales,Elementary,124.0,1,0,0,1,Female,1,21,0,4,12,12,12,13.333333333333334,0,5,12,12,11,12.545454545454543,0,15.5,2.8,-4.06,Graduate,20-22
Single,General,1,Business/Economy,1,Secondary Education,112.0,1,No Schooling/Primary,Basic Education,Elementary,Service/Sales,113.8,1,0,0,1,Female,0,21,0,0,6,10,6,10.833333333333334,0,0,6,10,4,11.0,0,7.6,2.6,0.32,Enrolled,20-22
Single,General,1,Business/Economy,1,Secondary Education,128.0,1,Basic Education,Basic Education,Craft/Trade,Craft/Trade,124.4,0,0,0,1,Female,1,19,0,0,6,6,6,13.0,0,0,6,6,6,14.0,0,13.9,-0.3,0.79,Graduate,17-19
Single,General,1,Business/Economy,1,Secondary Education,114.0,1,Basic Education,Basic Education,Elementary,Craft/Trade,107.7,0,0,0,1,Female,0,19,0,0,5,7,2,10.0,0,0,5,11,2,14.0,0,10.8,1.4,1.74,Dropout,17-19
Single,Transfer/Change,2,Social Sciences,1,Secondary Education,118.0,1,No Schooling/Primary,No Schooling/Primary,Service/Sales,Service/Sales,110.0,0,0,0,1,Female,1,19,0,0,6,8,6,11.428571428571429,0,0,6,11,5,11.2,0,10.8,1.4,1.74,Graduate,17-19
Single,Other,1,Health/Medicine,1,Higher Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,130.0,1,0,0,1,Female,0,27,0,0,8,8,8,12.8875,0,0,8,8,8,12.8875,0,9.4,-0.8,-3.12,Graduate,26-29
Single,General,2,Health/Medicine,1,Secondary Education,145.0,1,No Schooling/Primary,Secondary,Elementary,Clerical,138.8,1,0,0,1,Female,1,18,0,0,7,7,6,12.95,0,0,7,7,6,12.95,0,7.6,2.6,0.32,Graduate,17-19
Single,General,2,Business/Economy,1,Secondary Education,121.0,1,Basic Education,Basic Education,Elementary,Elementary,126.3,1,0,0,1,Female,0,20,0,0,5,12,1,10.0,2,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout,20-22
Single,General,3,Health/Medicine,1,Secondary Education,114.0,1,Secondary,Secondary,Service/Sales,Service/Sales,114.5,1,0,0,1,Female,1,19,0,0,7,7,7,13.094285714285714,0,0,8,8,8,12.55,0,12.4,0.5,1.79,Graduate,17-19
Single,General,4,Business/Economy,1,Secondary Education,127.0,1,Secondary,Secondary,Craft/Trade,Craft/Trade,116.5,1,0,0,1,Female,0,20,0,0,6,7,0,0.0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout,20-22
Single,General,2,Social Sciences,1,Secondary Education,145.0,1,Basic Education,No Schooling/Primary,Craft/Trade,Agriculture/Fishery,128.6,1,0,0,1,Female,1,19,0,0,6,12,5,11.714285714285714,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate,17-19
Single,General,5,Social Sciences,1,Secondary Education,130.0,1,Basic Education,Secondary,Service/Sales,Service/Sales,130.0,1,0,0,1,Female,0,20,0,0,6,8,4,11.25,0,0,6,15,3,10.0,0,9.4,-0.8,-3.12,Enrolled,20-22
Single,General,1,Arts/Communication,1,Secondary Education,150.0,1,No Schooling/Primary,Basic Education,Craft/Trade,Other,134.6,0,0,0,1,Female,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,15.5,2.8,-4.06,Dropout,20-22
Single,General,1,Education,1,Secondary Education,145.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Service/Sales,146.8,0,0,0,1,Female,0,18,0,0,6,6,6,13.166666666666666,0,0,6,6,6,13.333333333333334,0,7.6,2.6,0.32,Graduate,17-19
Single,General,1,Engineering/Tech,1,Secondary Education,128.0,1,Basic Education,Secondary,Service/Sales,Clerical,135.7,1,0,0,1,Female,0,20,0,0,5,7,4,12.75,0,0,5,5,5,13.4,0,10.8,1.4,1.74,Graduate,20-22
Married/Union,Transfer/Change,1,Business/Economy,0,Secondary Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,120.0,0,0,0,0,Female,0,38,0,0,5,6,5,10.6,0,0,5,9,2,11.0,0,12.7,3.7,-1.7,Dropout,30+
Separated/Divorced/Widower,Transfer/Change,1,Social Sciences,0,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Craft/Trade,138.0,0,0,0,1,Female,0,42,0,0,6,8,5,11.2,0,0,6,6,6,12.0,0,8.9,1.4,3.51,Graduate,30+
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Agriculture/Fishery,135.5,0,0,0,1,Female,0,32,0,0,7,0,0,0.0,0,0,8,0,0,0.0,0,13.9,-0.3,0.79,Dropout,30+
Single,Special/Island/Ordinance,1,Arts/Communication,1,Secondary Education,120.0,26,Basic Education,Basic Education,Clerical,Service/Sales,120.0,1,0,0,1,Female,0,22,1,0,6,6,6,13.0,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate,20-22
Married/Union,Transfer/Change,1,Business/Economy,0,Secondary Education,147.0,1,Other,Other,Unknown,Unknown,111.7,1,0,0,1,Female,0,28,0,0,5,10,0,0.0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout,26-29
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Plant/Machine,Other,100.0,1,0,0,1,Female,0,37,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,9.4,-0.8,-3.12,Dropout,30+
Married/Union,Transfer/Change,1,Agriculture,1,Higher Education,160.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Clerical,160.0,0,0,0,1,Female,0,43,0,0,6,8,6,14.166666666666666,0,0,6,9,6,15.0,0,15.5,2.8,-4.06,Graduate,30+
Separated/Divorced/Widower,Transfer/Change,1,Social Sciences,0,Secondary Education,133.1,1,No Schooling/Primary,Secondary,Elementary,Craft/Trade,114.8,0,0,0,1,Female,1,41,0,0,6,10,5,12.833333333333334,0,0,6,6,6,12.333333333333334,0,13.9,-0.3,0.79,Graduate,30+
Separated/Divorced/Widower,Transfer/Change,1,Social Sciences,0,Basic Education,140.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Technicians,131.0,0,0,0,1,Female,1,29,0,0,6,11,4,11.75,0,0,6,9,5,10.4,0,10.8,1.4,1.74,Graduate,26-29
Single,Transfer/Change,1,Social Sciences,0,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,97.0,0,0,0,1,Female,1,35,0,0,6,8,6,10.833333333333334,0,0,6,7,6,11.5,0,10.8,1.4,1.74,Graduate,30+
Single,General,6,Social Sciences,1,Secondary Education,131.0,1,Secondary,Higher Education,Clerical,Professionals,131.7,1,0,0,1,Female,0,18,0,0,6,8,4,11.75,0,0,6,8,4,12.25,0,9.4,-0.8,-3.12,Dropout,17-19
Single,Transfer/Change,1,Health/Medicine,1,Basic Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Elementary,Agriculture/Fishery,120.0,0,0,0,0,Female,1,39,0,0,7,14,3,11.5,0,0,7,9,2,10.5,0,16.2,0.3,-0.92,Dropout,30+
Separated/Divorced/Widower,Transfer/Change,1,Business/Economy,0,Secondary Education,120.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Elementary,110.0,0,0,0,1,Female,0,37,0,0,5,14,2,10.0,0,0,5,7,3,11.333333333333334,0,12.7,3.7,-1.7,Enrolled,30+
Single,Transfer/Change,1,Health/Medicine,1,Secondary Education,130.0,1,No Schooling/Primary,No Schooling/Primary,Elementary,Craft/Trade,133.0,1,0,0,1,Female,1,26,0,0,7,7,6,13.7,0,0,7,7,6,13.7,0,7.6,2.6,0.32,Graduate,26-29
Single,Other,1,Engineering/Tech,1,Higher Education,140.0,1,Basic Education,Other,Clerical,Unknown,140.0,1,0,0,1,Female,0,32,0,0,5,8,1,14.0,2,0,5,12,0,0.0,4,10.8,1.4,1.74,Dropout,30+
Married/Union,Transfer/Change,1,Social Sciences,0,Secondary Education,133.1,1,No Schooling/Primary,No Schooling/Primary,Agriculture/Fishery,Plant/Machine,100.0,0,0,1,1,Female,0,37,0,3,8,12,7,11.375,0,2,7,10,6,12.166666666666666,0,13.9,-0.3,0.79,Enrolled,30+
Single,Transfer/Change,1,Engineering/Tech,1,Secondary Education,140.0,1,No Schooling/Primary,Basic Education,Elementary,Agriculture/Fishery,129.3,1,0,1,1,Female,0,28,0,0,6,17,0,0.0,0,0,6,6,0,0.0,0,8.9,1.4,3.51,Enrolled,26-29
Single,General,1,Social Sciences,1,Secondary Education,133.1,1,Basic Education,No Schooling/Primary,Other,Other,137.0,1,0,0,1,Female,0,19,0,0,6,10,0,0.0,4,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout,17-19
Single,General,5,Business/Economy,1,Secondary Education,125.0,1,No Schooling/Primary,No Schooling/Primary,Craft/Trade,Craft/Trade,122.2,1,0,0,1,Female,0,18,0,0,5,9,1,11.0,0,0,5,9,2,12.5,0,7.6,2.6,0.32,Enrolled,17-19
Single,General,1,Education,1,Secondary Education,115.0,1,Basic Education,No Schooling/Primary,Elementary,Elementary,108.0,0,0,0,1,Female,1,19,0,0,7,10,6,13.0,0,0,7,7,7,13.285714285714286,0,12.4,0.5,1.79,Graduate,17-19
